,Date,Price(USD),Currency
534,2014-10-15,-6.098799999999869,bitcoin
535,2014-10-16,-12.798700000000224,bitcoin
536,2014-10-17,0.9012000000001308,bitcoin
537,2014-10-18,8.823800000000006,bitcoin
538,2014-10-19,-2.1713000000000306,bitcoin
539,2014-10-20,-7.175000000000068,bitcoin
540,2014-10-21,2.643799999999999,bitcoin
541,2014-10-22,-2.9712999999998146,bitcoin
542,2014-10-23,-23.242500000000007,bitcoin
543,2014-10-24,-1.8824999999999932,bitcoin
544,2014-10-25,-7.287005943590714,bitcoin
545,2014-10-26,3.158305943590733,bitcoin
546,2014-10-27,-1.898800000000108,bitcoin
547,2014-10-28,3.273800000000108,bitcoin
548,2014-10-29,-18.416300000000206,bitcoin
549,2014-10-30,10.519999999999982,bitcoin
550,2014-10-31,-7.079524194219232,bitcoin
551,2014-11-01,-12.611675805780692,bitcoin
552,2014-11-02,0.008699999999919328,bitcoin
553,2014-11-03,0.010000000000104592,bitcoin
554,2014-11-04,4.013300000000015,bitcoin
555,2014-11-05,9.58499999999998,bitcoin
556,2014-11-06,10.225000000000023,bitcoin
557,2014-11-07,-6.586600000000033,bitcoin
558,2014-11-08,2.9465999999999894,bitcoin
559,2014-11-09,19.2458291015933,bitcoin
560,2014-11-10,0.34087089840659246,bitcoin
561,2014-11-11,2.3850000000001046,bitcoin
562,2014-11-12,52.428300000000036,bitcoin
563,2014-11-13,-3.8700000000000045,bitcoin
564,2014-11-14,-19.463300000000004,bitcoin
565,2014-11-15,-17.918299999999988,bitcoin
566,2014-11-16,10.296599999999955,bitcoin
567,2014-11-17,-2.7232999999999947,bitcoin
568,2014-11-18,-10.0317,bitcoin
569,2014-11-19,1.920000000000016,bitcoin
570,2014-11-20,-21.39946544583819,bitcoin
571,2014-11-21,-6.000549121767278,bitcoin
572,2014-11-22,2.1617145676055998,bitcoin
573,2014-11-23,15.231699999999876,bitcoin
574,2014-11-24,10.95999999999998,bitcoin
575,2014-11-25,-2.49369999999999,bitcoin
576,2014-11-26,-9.481999999999914,bitcoin
577,2014-11-27,2.6819999999999027,bitcoin
578,2014-11-28,8.503000000000043,bitcoin
579,2014-11-29,-1.9860000000001037,bitcoin
580,2014-11-30,1.5070000000000618,bitcoin
581,2014-12-01,3.016999999999996,bitcoin
582,2014-12-02,1.8878000000001407,bitcoin
583,2014-12-03,-7.273800000000108,bitcoin
584,2014-12-04,-5.8747999999999365,bitcoin
585,2014-12-05,8.150799999999947,bitcoin
586,2014-12-06,-2.708000000000027,bitcoin
587,2014-12-07,0.7769999999999868,bitcoin
588,2014-12-08,-13.014999999999986,bitcoin
589,2014-12-09,-10.504999999999882,bitcoin
590,2014-12-10,-3.948128163681531,bitcoin
591,2014-12-11,-0.07087183631870175,bitcoin
